,date,region,sales
341,2018-05-02,south,1674.0
342,2018-05-02,east,1791.0
343,2018-05-02,west,1653.0
344,2018-05-03,north,1785.0
345,2018-05-03,south,1569.0
346,2018-05-03,east,1500.0
347,2018-05-03,west,1770.0
348,2018-05-04,north,1653.0
349,2018-05-04,south,1590.0
350,2018-05-04,east,1671.0
351,2018-05-04,west,1629.0
352,2018-05-05,north,1578.0
353,2018-05-05,south,1665.0
354,2018-05-05,east,1575.0
355,2018-05-05,west,1587.0
356,2018-05-06,north,1674.0
357,2018-05-06,south,1785.0
358,2018-05-06,east,1719.0
359,2018-05-06,west,1617.0
360,2018-05-07,north,1794.0
361,2018-05-07,south,1563.0
362,2018-05-07,east,1728.0
363,2018-05-07,west,1740.0
364,2018-05-08,north,1617.0
365,2018-05-08,south,1650.0
366,2018-05-08,east,1728.0
367,2018-05-08,west,1635.0
368,2018-05-09,north,1584.0
369,2018-05-09,south,1647.0
370,2018-05-09,east,1551.0
371,2018-05-09,west,1512.0
372,2018-05-10,north,1737.0
373,2018-05-10,south,1551.0
374,2018-05-10,east,1515.0
375,2018-05-10,west,1716.0
376,2018-05-11,north,1746.0
377,2018-05-11,south,1677.0
378,2018-05-11,east,1584.0
379,2018-05-11,west,1617.0
380,2018-05-12,north,1743.0
381,2018-05-12,south,1533.0
382,2018-05-12,east,1521.0
383,2018-05-12,west,1578.0
384,2018-05-13,north,1545.0
385,2018-05-13,south,1713.0
386,2018-05-13,east,1665.0
387,2018-05-13,west,1644.0
388,2018-05-14,north,1776.0
389,2018-05-14,south,1560.0
390,2018-05-14,east,1644.0
391,2018-05-14,west,1503.0
392,2018-05-15,north,1800.0
393,2018-05-15,south,1758.0
394,2018-05-15,east,1701.0
395,2018-05-15,west,1671.0
396,2018-05-16,north,1593.0
397,2018-05-16,south,1617.0
398,2018-05-16,east,1626.0
399,2018-05-16,west,1629.0
400,2018-05-17,north,1728.0
401,2018-05-17,south,1506.0
402,2018-05-17,east,1590.0
403,2018-05-17,west,1626.0
404,2018-05-18,north,1782.0
405,2018-05-18,south,1572.0
406,2018-05-18,east,1539.0
407,2018-05-18,west,1509.0
408,2018-05-19,north,1788.0
409,2018-05-19,south,1713.0
410,2018-05-19,east,1626.0
411,2018-05-19,west,1629.0
412,2018-05-20,north,1548.0
413,2018-05-20,south,1716.0
414,2018-05-20,east,1752.0
415,2018-05-20,west,1638.0
416,2018-05-21,north,1575.0
417,2018-05-21,south,1671.0
418,2018-05-21,east,1626.0
419,2018-05-21,west,1572.0
420,2018-05-22,north,1572.0
421,2018-05-22,south,1569.0
422,2018-05-22,east,1581.0
423,2018-05-22,west,1521.0
424,2018-05-23,north,1641.0
425,2018-05-23,south,1692.0
426,2018-05-23,east,1713.0
427,2018-05-23,west,1563.0
428,2018-05-24,north,1524.0
429,2018-05-24,south,1533.0
430,2018-05-24,east,1695.0
431,2018-05-24,west,1533.0
432,2018-05-25,north,1599.0
433,2018-05-25,south,1665.0
434,2018-05-25,east,1713.0
435,2018-05-25,west,1644.0
436,2018-05-26,north,1776.0
437,2018-05-26,south,1530.0
438,2018-05-26,east,1650.0
439,2018-05-26,west,1512.0
440,2018-05-27,north,1629.0
441,2018-05-27,south,1707.0
442,2018-05-27,east,1521.0
443,2018-05-27,west,1761.0
444,2018-05-28,north,1755.0
445,2018-05-28,south,1659.0
446,2018-05-28,east,1800.0
447,2018-05-28,west,1539.0
448,2018-05-29,north,1713.0
449,2018-05-29,south,1752.0
450,2018-05-29,east,1629.0
451,2018-05-29,west,1635.0
452,2018-05-30,north,1674.0
453,2018-05-30,south,1701.0
454,2018-05-30,east,1614.0
455,2018-05-30,west,1794.0
456,2018-05-31,north,1725.0
457,2018-05-31,south,1659.0
458,2018-05-31,east,1536.0
459,2018-05-31,west,1620.0
460,2018-06-01,north,1794.0
461,2018-06-01,south,1623.0
462,2018-06-01,east,1665.0
463,2018-06-01,west,1671.0
464,2018-06-02,north,1752.0
465,2018-06-02,south,1707.0
466,2018-06-02,east,1797.0
467,2018-06-02,west,1668.0
468,2018-06-03,north,1596.0
469,2018-06-03,south,1503.0
470,2018-06-03,east,1578.0
471,2018-06-03,west,1680.0
472,2018-06-04,north,1608.0
473,2018-06-04,south,1683.0
474,2018-06-04,east,1572.0
475,2018-06-04,west,1656.0
476,2018-06-05,north,1713.0
477,2018-06-05,south,1698.0
478,2018-06-05,east,1557.0
479,2018-06-05,west,1782.0
480,2018-06-06,north,1695.0
481,2018-06-06,south,1680.0
482,2018-06-06,east,1761.0
483,2018-06-06,west,1659.0
484,2018-06-07,north,1518.0
485,2018-06-07,south,1572.0
486,2018-06-07,east,1785.0
487,2018-06-07,west,1557.0
488,2018-06-08,north,1719.0
489,2018-06-08,south,1677.0
490,2018-06-08,east,1695.0
491,2018-06-08,west,1602.0
492,2018-06-09,north,1782.0
493,2018-06-09,south,1773.0
494,2018-06-09,east,1656.0
495,2018-06-09,west,1665.0
496,2018-06-10,north,1578.0
497,2018-06-10,south,1641.0
498,2018-06-10,east,1737.0
499,2018-06-10,west,1557.0
500,2018-06-11,north,1788.0
501,2018-06-11,south,1677.0
502,2018-06-11,east,1698.0
503,2018-06-11,west,1728.0
504,2018-06-12,north,1776.0
505,2018-06-12,south,1551.0
506,2018-06-12,east,1548.0
507,2018-06-12,west,1542.0
508,2018-06-13,north,1683.0
509,2018-06-13,south,1683.0
510,2018-06-13,east,1572.0
511,2018-06-13,west,1683.0
512,2018-06-14,north,1761.0
513,2018-06-14,south,1668.0
514,2018-06-14,east,1599.0
515,2018-06-14,west,1593.0
516,2018-06-15,north,1623.0
517,2018-06-15,south,1737.0
518,2018-06-15,east,1593.0
519,2018-06-15,west,1788.0
520,2018-06-16,north,1659.0
521,2018-06-16,south,1641.0
522,2018-06-16,east,1575.0
523,2018-06-16,west,1611.0
524,2018-06-17,north,1599.0
525,2018-06-17,south,1530.0
526,2018-06-17,east,1608.0
527,2018-06-17,west,1626.0
528,2018-06-18,north,1530.0
529,2018-06-18,south,1707.0
530,2018-06-18,east,1611.0
531,2018-06-18,west,1635.0
532,2018-06-19,north,1593.0
533,2018-06-19,south,1749.0
534,2018-06-19,east,1623.0
535,2018-06-19,west,1608.0
536,2018-06-20,north,1665.0
537,2018-06-20,south,1659.0
538,2018-06-20,east,1734.0
539,2018-06-20,west,1557.0
540,2018-06-21,north,1797.0
541,2018-06-21,south,1587.0
542,2018-06-21,east,1557.0
543,2018-06-21,west,1542.0
544,2018-06-22,north,1743.0
545,2018-06-22,south,1797.0
546,2018-06-22,east,1686.0
547,2018-06-22,west,1683.0
548,2018-06-23,north,1791.0
549,2018-06-23,south,1554.0
550,2018-06-23,east,1695.0
551,2018-06-23,west,1566.0
552,2018-06-24,north,1563.0
553,2018-06-24,south,1623.0
554,2018-06-24,east,1530.0
555,2018-06-24,west,1662.0
556,2018-06-25,north,1650.0
557,2018-06-25,south,1602.0
558,2018-06-25,east,1548.0
559,2018-06-25,west,1623.0
560,2018-06-26,north,1728.0
561,2018-06-26,south,1533.0
562,2018-06-26,east,1503.0
563,2018-06-26,west,1629.0
564,2018-06-27,north,1581.0
565,2018-06-27,south,1659.0
566,2018-06-27,east,1707.0
567,2018-06-27,west,1665.0
568,2018-06-28,north,1563.0
569,2018-06-28,south,1638.0
570,2018-06-28,east,1692.0
571,2018-06-28,west,1503.0
572,2018-06-29,north,1686.0
573,2018-06-29,south,1764.0
574,2018-06-29,east,1629.0
575,2018-06-29,west,1779.0
576,2018-06-30,north,1554.0
577,2018-06-30,south,1653.0
578,2018-06-30,east,1515.0
579,2018-06-30,west,1557.0
580,2018-07-01,north,1746.0
581,2018-07-01,south,1671.0
582,2018-07-01,east,1716.0
583,2018-07-01,west,1554.0
584,2018-07-02,north,1695.0
585,2018-07-02,south,1611.0
586,2018-07-02,east,1680.0
587,2018-07-02,west,1671.0
588,2018-07-03,north,1644.0
589,2018-07-03,south,1638.0
590,2018-07-03,east,1623.0
591,2018-07-03,west,1515.0
592,2018-07-04,north,1743.0
593,2018-07-04,south,1587.0
594,2018-07-04,east,1764.0
595,2018-07-04,west,1572.0
596,2018-07-05,north,1752.0
597,2018-07-05,south,1647.0
598,2018-07-05,east,1575.0
599,2018-07-05,west,1500.0
600,2018-07-06,north,1743.0
601,2018-07-06,south,1566.0
602,2018-07-06,east,1758.0
603,2018-07-06,west,1689.0
604,2018-07-07,north,1776.0
605,2018-07-07,south,1770.0
606,2018-07-07,east,1695.0
607,2018-07-07,west,1566.0
608,2018-07-08,north,1623.0
609,2018-07-08,south,1776.0
610,2018-07-08,east,1515.0
611,2018-07-08,west,1761.0
612,2018-07-09,north,1623.0
613,2018-07-09,south,1788.0
614,2018-07-09,east,1542.0
615,2018-07-09,west,1515.0
616,2018-07-10,north,1794.0
617,2018-07-10,south,1794.0
618,2018-07-10,east,1755.0
619,2018-07-10,west,1761.0
620,2018-07-11,north,1605.0
621,2018-07-11,south,1569.0
622,2018-07-11,east,1638.0
623,2018-07-11,west,1677.0
624,2018-07-12,north,1593.0
625,2018-07-12,south,1500.0
626,2018-07-12,east,1539.0
627,2018-07-12,west,1719.0
628,2018-07-13,north,1749.0
629,2018-07-13,south,1596.0
630,2018-07-13,east,1680.0
631,2018-07-13,west,1509.0
632,2018-07-14,north,1500.0
633,2018-07-14,south,1653.0
634,2018-07-14,east,1620.0
635,2018-07-14,west,1575.0
636,2018-07-15,north,1737.0
637,2018-07-15,south,1713.0
638,2018-07-15,east,1698.0
639,2018-07-15,west,1539.0
640,2018-07-16,north,1773.0
641,2018-07-16,south,1707.0
642,2018-07-16,east,1554.0
643,2018-07-16,west,1515.0
644,2018-07-17,north,1551.0
645,2018-07-17,south,1566.0
646,2018-07-17,east,1788.0
647,2018-07-17,west,1614.0
648,2018-07-18,north,1704.0
649,2018-07-18,south,1656.0
650,2018-07-18,east,1530.0
651,2018-07-18,west,1659.0
652,2018-07-19,north,1620.0
653,2018-07-19,south,1725.0
654,2018-07-19,east,1704.0
655,2018-07-19,west,1527.0
656,2018-07-20,north,1731.0
657,2018-07-20,south,1761.0
658,2018-07-20,east,1644.0
659,2018-07-20,west,1653.0
660,2018-07-21,north,1725.0
661,2018-07-21,south,1698.0
662,2018-07-21,east,1662.0
663,2018-07-21,west,1656.0
664,2018-07-22,north,1608.0
665,2018-07-22,south,1773.0
666,2018-07-22,east,1659.0
667,2018-07-22,west,1647.0
668,2018-07-23,north,1638.0
669,2018-07-23,south,1623.0
670,2018-07-23,east,1719.0
671,2018-07-23,west,1629.0
672,2018-07-24,north,1701.0
673,2018-07-24,south,1725.0
674,2018-07-24,east,1752.0
675,2018-07-24,west,1557.0
676,2018-07-25,north,1500.0
677,2018-07-25,south,1707.0
678,2018-07-25,east,1533.0
679,2018-07-25,west,1737.0
680,2018-07-26,north,1605.0
681,2018-07-26,south,1767.0
682,2018-07-26,east,1551.0
683,2018-07-26,west,1521.0
684,2018-07-27,north,1659.0
685,2018-07-27,south,1611.0
686,2018-07-27,east,1695.0
687,2018-07-27,west,1632.0
688,2018-07-28,north,1515.0
689,2018-07-28,south,1584.0
690,2018-07-28,east,1596.0
691,2018-07-28,west,1743.0
692,2018-07-29,north,1791.0
693,2018-07-29,south,1599.0
694,2018-07-29,east,1749.0
695,2018-07-29,west,1755.0
696,2018-07-30,north,1755.0
697,2018-07-30,south,1662.0
698,2018-07-30,east,1509.0
699,2018-07-30,west,1776.0
700,2018-07-31,north,1695.0
701,2018-07-31,south,1707.0
702,2018-07-31,east,1548.0
703,2018-07-31,west,1578.0
704,2018-08-01,north,1563.0
705,2018-08-01,south,1674.0
706,2018-08-01,east,1554.0
707,2018-08-01,west,1665.0
708,2018-08-02,north,1527.0
709,2018-08-02,south,1617.0
710,2018-08-02,east,1548.0
711,2018-08-02,west,1671.0
712,2018-08-03,north,1668.0
713,2018-08-03,south,1671.0
714,2018-08-03,east,1719.0
715,2018-08-03,west,1668.0
716,2018-08-04,north,1536.0
717,2018-08-04,south,1734.0
718,2018-08-04,east,1743.0
719,2018-08-04,west,1776.0
720,2018-08-05,north,1650.0
721,2018-08-05,south,1599.0
722,2018-08-05,east,1614.0
723,2018-08-05,west,1773.0
724,2018-08-06,north,1611.0
725,2018-08-06,south,1605.0
726,2018-08-06,east,1554.0
727,2018-08-06,west,1788.0
728,2018-08-07,north,1566.0
729,2018-08-07,south,1560.0
730,2018-08-07,east,1551.0
731,2018-08-07,west,1626.0
732,2018-08-08,north,1665.0
733,2018-08-08,south,1539.0
734,2018-08-08,east,1506.0
735,2018-08-08,west,1617.0
736,2018-08-09,north,1797.0
737,2018-08-09,south,1794.0
738,2018-08-09,east,1620.0
739,2018-08-09,west,1683.0
740,2018-08-10,north,1620.0
741,2018-08-10,south,1554.0
742,2018-08-10,east,1701.0
743,2018-08-10,west,1785.0
744,2018-08-11,north,1689.0
745,2018-08-11,south,1650.0
746,2018-08-11,east,1533.0
747,2018-08-11,west,1587.0
748,2018-08-12,north,1509.0
749,2018-08-12,south,1743.0
750,2018-08-12,east,1719.0
751,2018-08-12,west,1743.0
752,2018-08-13,north,1701.0
753,2018-08-13,south,1629.0
754,2018-08-13,east,1638.0
755,2018-08-13,west,1611.0
756,2018-08-14,north,1623.0
757,2018-08-14,south,1635.0
758,2018-08-14,east,1716.0
759,2018-08-14,west,1707.0
760,2018-08-15,north,1602.0
761,2018-08-15,south,1542.0
762,2018-08-15,east,1800.0
763,2018-08-15,west,1734.0
764,2018-08-16,north,1788.0
765,2018-08-16,south,1614.0
766,2018-08-16,east,1743.0
767,2018-08-16,west,1770.0
768,2018-08-17,north,1776.0
769,2018-08-17,south,1713.0
770,2018-08-17,east,1623.0
771,2018-08-17,west,1752.0
772,2018-08-18,north,1527.0
773,2018-08-18,south,1776.0
774,2018-08-18,east,1689.0
775,2018-08-18,west,1713.0
776,2018-08-19,north,1509.0
777,2018-08-19,south,1575.0
778,2018-08-19,east,1701.0
779,2018-08-19,west,1575.0
780,2018-08-20,north,1581.0
781,2018-08-20,south,1779.0
782,2018-08-20,east,1662.0
783,2018-08-20,west,1506.0
784,2018-08-21,north,1794.0
785,2018-08-21,south,1659.0
786,2018-08-21,east,1644.0
787,2018-08-21,west,1707.0
788,2018-08-22,north,1704.0
789,2018-08-22,south,1500.0
790,2018-08-22,east,1539.0
791,2018-08-22,west,1800.0
792,2018-08-23,north,1557.0
793,2018-08-23,south,1554.0
794,2018-08-23,east,1788.0
795,2018-08-23,west,1563.0
796,2018-08-24,north,1548.0
797,2018-08-24,south,1560.0
798,2018-08-24,east,1734.0
799,2018-08-24,west,1644.0
800,2018-08-25,north,1629.0
801,2018-08-25,south,1677.0
802,2018-08-25,east,1764.0
803,2018-08-25,west,1515.0
804,2018-08-26,north,1542.0
805,2018-08-26,south,1545.0
806,2018-08-26,east,1668.0
807,2018-08-26,west,1584.0
808,2018-08-27,north,1605.0
809,2018-08-27,south,1740.0
810,2018-08-27,east,1602.0
811,2018-08-27,west,1509.0
812,2018-08-28,north,1566.0
813,2018-08-28,south,1680.0
814,2018-08-28,east,1656.0
815,2018-08-28,west,1722.0
816,2018-08-29,north,1662.0
817,2018-08-29,south,1794.0
818,2018-08-29,east,1734.0
819,2018-08-29,west,1647.0
820,2018-08-30,north,1635.0
821,2018-08-30,south,1743.0
822,2018-08-30,east,1665.0
823,2018-08-30,west,1770.0
824,2018-08-31,north,1749.0
825,2018-08-31,south,1695.0
826,2018-08-31,east,1644.0
827,2018-08-31,west,1602.0
828,2018-09-01,north,1560.0
829,2018-09-01,south,1500.0
830,2018-09-01,east,1719.0
831,2018-09-01,west,1557.0
832,2018-09-02,north,1527.0
833,2018-09-02,south,1653.0
834,2018-09-02,east,1506.0
835,2018-09-02,west,1575.0
836,2018-09-03,north,1749.0
837,2018-09-03,south,1770.0
838,2018-09-03,east,1674.0
839,2018-09-03,west,1650.0
840,2018-09-04,north,1794.0
841,2018-09-04,south,1509.0
842,2018-09-04,east,1785.0
843,2018-09-04,west,1539.0
844,2018-09-05,north,1731.0
845,2018-09-05,south,1617.0
846,2018-09-05,east,1656.0
847,2018-09-05,west,1599.0
848,2018-09-06,north,1713.0
849,2018-09-06,south,1506.0
850,2018-09-06,east,1758.0
851,2018-09-06,west,1650.0
852,2018-09-07,north,1791.0
853,2018-09-07,south,1623.0
854,2018-09-07,east,1776.0
855,2018-09-07,west,1653.0
856,2018-09-08,north,1659.0
857,2018-09-08,south,1755.0
858,2018-09-08,east,1533.0
859,2018-09-08,west,1557.0
860,2018-09-09,north,1527.0
861,2018-09-09,south,1614.0
862,2018-09-09,east,1638.0
863,2018-09-09,west,1704.0
864,2018-09-10,north,1650.0
865,2018-09-10,south,1656.0
866,2018-09-10,east,1782.0
867,2018-09-10,west,1527.0
868,2018-09-11,north,1578.0
869,2018-09-11,south,1767.0
870,2018-09-11,east,1749.0
871,2018-09-11,west,1524.0
872,2018-09-12,north,1719.0
873,2018-09-12,south,1695.0
